Domain,Associated Company / Entity,Jurisdiction,Known Officers / Controllers,Confidence
babakzanjani.com,Personal branding site,N/A,Babak Morteza Zanjani,High
bz-bank.com,B Z Group–linked financial front,UAE / UK (probable),"Babak M. Zanjani (control), proxies unidentified",Medium
kontbank.com,Unlicensed banking-branded entity,Unknown / Offshore,Linked to Zanjani-controlled network,Medium
sctbankers.com,Financial services shell,UK / Offshore,Indirect Zanjani control,Medium
royalbankdevelopmentcapital.com,Capital / investment vehicle (shell),Offshore,Zanjani network (no formal officers identified),Medium
iban2iban.net,Payment / settlement intermediary,UK-linked,"Mustafa Özkan (former PSC), Babak Zanjani (control)",High
zed-pay.com,Payment rail for exchange ecosystem,UK,Zedxion Exchange Ltd officers,High
mail-zedxion.com,Exchange email infrastructure,UK,Zedxion Exchange Ltd officers,High
mail-zedcex.com,Exchange email infrastructure,UK,Zedcex officers (overlapping control),High
bz-diamond.com,Diamond trade front,UAE,Babak Zanjani (control),High
bzdiamond.ae,Diamond trade front,UAE,Babak Zanjani (control),High
bz-metal.com,Metals trading entity,UAE / Turkey,Zanjani-controlled,Medium
metal-istanbul.com,Metals trade cover,Turkey,Zanjani network,Medium
international-safeoil.com,Oil-trade narrative front,Offshore / MENA,Zanjani network,Medium
iraq-safeoil.com,Iraq-focused oil cover,Iraq / Offshore,Zanjani network,Medium
bz-motor.com,Automotive trade / asset cover,UAE / Turkey,Zanjani network,Low–Medium
sorinethotels.asia,Hospitality shell,Offshore,Zanjani network,Medium
sorinethotels.co,Hospitality shell,Offshore,Zanjani network,Medium
sorinethotels.us,Hospitality shell,US-facing front,Zanjani network,Medium
multiversewarrior.com,Narrative / ideological site,N/A,Babak Zanjani (attributed),Medium
